Student_ID,Name,Gender,Age,Department,10th_Percentage,12th_Percentage,CGPA,Attendance,Backlogs,Internships,Projects,Certifications,Coding_Rating,Aptitude_Score,Communication,Technical_Skill,Teamwork,Leadership,Problem_Solving,Resume_Score,Mock_Interview,Placement_Score,Placement_Status
STU0001,Krishna Mall,Male,21,Civil,68.43,68.4,6.1,97,2,1,4,0,31,63,69,37,59,68,79,67,36,59.28,0
STU0002,Ijaya Lal,Female,24,Computer Engineering,97.23,96.12,9.32,79,5,1,5,3,56,39,48,47,64,40,73,70,37,69.73,0
STU0003,Nidhi Dalal,Male,21,Mechanical,73.63,83.44,8.23,70,2,1,4,1,81,66,43,89,95,41,94,65,76,75.62,1
STU0004,Advay Balasubramanian,Female,22,Electronics,60.61,97.5,9.66,83,3,0,3,6,33,34,83,85,88,50,56,44,78,70.43,0
STU0005,Ekbal Chakrabarti,Female,20,Electronics,87.17,80.93,7.39,92,3,1,4,4,38,44,81,43,85,50,50,85,78,66.69,0
STU0006,Rajata Buch,Female,22,Electronics,86.65,68.41,8.77,77,2,2,3,8,58,61,56,45,66,82,73,64,47,81.8,1
STU0007,Deepa Wason,Male,23,Mechanical,89.64,65.57,9.33,62,4,2,6,6,72,59,72,37,66,81,65,46,80,84.88,1
STU0008,Janya Gara,Female,20,Mechanical,76.08,80.55,6.81,60,4,1,5,6,91,53,46,92,81,91,58,49,75,74.03,0
STU0009,Shaurya Korpal,Male,22,Computer Engineering,83.36,70.25,9.28,97,4,1,5,3,68,64,67,94,95,99,68,40,87,80.47,1
STU0010,Gautam Patil,Male,24,Mechanical,63.72,71.25,8.31,96,4,0,5,0,79,59,60,99,94,80,64,45,50,68.57,0
STU0011,Jacob Sharma,Female,20,Civil,92.2,64.9,7.03,93,4,1,3,1,52,49,89,73,57,80,92,98,69,61.32,0
STU0012,Watika Sibal,Female,24,Electronics,81.18,87.33,9.75,74,4,3,4,2,100,85,52,46,66,93,44,99,74,88.35,1
STU0013,Hemangini Sha,Male,24,Computer Engineering,67.63,95.39,8.23,69,0,0,2,5,46,68,57,97,51,85,79,91,71,74.31,0
STU0014,Pooja Golla,Male,22,Information Technology,62.28,77.63,9.84,81,1,1,3,1,81,65,100,80,72,75,55,91,46,84.37,1
STU0015,Ekaraj Balakrishnan,Male,24,Civil,91.8,92.85,7.97,85,2,0,5,8,40,62,91,45,76,72,66,89,83,78.46,1
STU0016,Janani Ganesan,Female,20,Civil,62.89,93.19,8.53,73,5,2,4,3,88,43,63,43,80,98,58,64,86,74.42,0
STU0017,Omaja Purohit,Female,22,Civil,74.81,87.93,7.05,96,5,0,2,2,100,32,99,93,74,62,50,58,75,63.57,0
STU0018,Janya Parikh,Female,22,Civil,94.79,93.08,6.8,93,0,2,2,6,76,63,44,43,100,92,82,55,36,82.44,1
STU0019,Zayyan Kar,Male,22,Mechanical,87.47,77.3,7.18,87,3,2,1,7,32,85,76,91,61,79,76,55,75,74.19,0
STU0020,Manan Bath,Male,22,Mechanical,74.12,86.4,6.03,91,1,2,4,6,31,66,100,97,54,63,87,96,49,85.61,1
STU0021,Jairaj Patel,Female,24,Information Technology,61.22,67.33,6.07,98,3,1,4,5,88,36,56,89,81,69,97,75,95,70.2,0
STU0022,Eiravati Kale,Female,23,Electronics,92.18,60.3,9.4,96,0,3,5,3,93,100,73,45,72,46,41,58,53,104.6,1
STU0023,Peter Raju,Female,23,Mechanical,63.19,79.95,6.29,85,1,0,5,6,95,80,71,48,65,86,88,71,96,80.29,1
STU0024,Veda Ganesh,Female,23,Electronics,75.35,92.77,5.78,72,0,0,5,1,96,98,88,72,83,79,68,43,64,85.17,1
STU0025,Krishna Shere,Female,21,Information Technology,86.28,95.29,5.55,72,3,3,5,7,61,92,53,89,68,44,80,52,78,87.41,1
STU0026,Wahab Chakraborty,Female,21,Artificial Intelligence,61.69,88.12,8.86,77,0,1,3,6,75,40,78,62,81,43,99,89,54,83.8,1
STU0027,Amol Vora,Female,22,Computer Engineering,80.07,76.08,8.81,68,5,2,6,4,80,42,86,97,80,96,91,83,96,86.14,1
STU0028,Charita Manda,Female,23,Mechanical,64.14,95.7,7.18,91,2,2,6,0,92,69,55,60,65,96,54,82,79,84.09,1
STU0029,Ekavir Mittal,Female,20,Mechanical,63.75,63.47,8.68,96,3,3,5,0,88,75,70,88,81,56,49,100,100,89.38,1
STU0030,Hemang Sule,Female,24,Electronics,66.7,60.68,6.05,69,5,3,6,4,95,32,52,40,86,97,59,47,73,69.94,0
STU0031,Frado Kalla,Male,23,Computer Engineering,61.61,74.69,8.25,82,4,3,5,4,45,90,53,80,97,74,72,76,81,79.28,1
STU0032,Frado Hegde,Male,20,Information Technology,68.22,73.5,8.74,72,5,3,3,6,79,46,90,78,92,86,69,58,65,80.5,1
STU0033,Ekantika Date,Female,22,Civil,60.02,96.66,8.5,83,5,1,5,5,60,99,71,43,80,58,77,80,94,75.12,1
STU0034,Kashvi Srivastava,Female,22,Civil,64.45,65.15,7.7,68,2,0,3,2,74,88,45,61,81,85,40,93,98,64.26,0
STU0035,Tanmayi Narula,Male,23,Information Technology,70.14,97.5,9.45,95,3,1,5,1,37,36,73,45,53,72,98,83,38,71.36,0
STU0036,Nidra Singhal,Female,23,Artificial Intelligence,66.17,96.83,6.42,73,0,0,4,4,55,86,63,38,53,76,76,77,94,73.74,0
STU0037,Gauri Bhatt,Male,21,Artificial Intelligence,97.73,75.6,9.22,99,0,0,4,4,68,92,73,49,74,53,89,51,67,89.32,1
STU0038,Jack Sani,Female,21,Computer Engineering,74.02,83.16,8.25,79,2,0,2,0,35,70,57,65,89,82,45,82,94,58.62,0
STU0039,Amruta Dhar,Female,22,Civil,80.66,78.26,9.04,77,2,0,2,4,38,91,59,85,95,73,54,100,79,72.02,0
STU0040,Madhavi Basak,Female,20,Artificial Intelligence,94.8,60.03,9.04,81,3,2,3,2,45,92,55,40,68,59,48,88,52,74.06,0
STU0041,Onkar Sarma,Female,21,Civil,87.36,76.18,6.5,65,5,2,3,8,50,78,91,93,79,63,62,74,78,74.3,0
STU0042,Dalaja Kadakia,Male,23,Electronics,64.79,74.35,6.66,78,1,3,3,0,63,88,68,91,76,68,88,59,52,80.28,1
STU0043,Falan Pradhan,Male,22,Electronics,94.13,72.95,6.35,75,0,1,4,4,61,52,61,72,62,95,55,79,57,77.81,1
STU0044,Ikshita Anand,Female,22,Civil,76.26,92.28,9.32,94,1,3,5,7,47,100,70,85,78,89,91,45,82,103.74,1
STU0045,Ekani Nigam,Female,20,Artificial Intelligence,73.23,61.25,6.28,77,0,1,6,2,88,54,71,49,65,75,60,50,97,79.46,1
STU0046,Jasmit Dugar,Female,20,Civil,87.26,72.0,7.12,99,1,3,6,3,37,49,82,70,58,40,51,84,89,86.77,1
STU0047,Lakshmi Deshmukh,Female,22,Electronics,70.95,60.27,9.23,99,0,1,3,0,97,77,63,53,65,58,53,85,70,82.38,1
STU0048,Urvi Swamy,Female,24,Electronics,96.88,78.2,7.09,73,0,0,1,6,97,35,87,45,67,80,45,55,87,74.59,0
STU0049,Pavani Sundaram,Female,20,Information Technology,88.75,93.87,8.05,71,2,1,2,3,53,60,88,94,60,50,90,75,36,74.06,0
STU0050,Tanvi Mann,Male,23,Computer Engineering,93.72,80.54,6.01,81,1,2,6,2,54,54,81,56,72,48,79,54,74,82.7,1
STU0051,Mohini More,Male,20,Civil,67.36,77.06,5.79,93,0,1,1,0,90,66,45,47,71,84,50,57,95,64.97,0
STU0052,Jagdish Golla,Female,23,Mechanical,63.12,86.97,8.86,76,4,2,4,8,59,97,84,60,88,61,88,96,95,87.48,1
STU0053,Rayaan Lall,Male,23,Electronics,76.22,85.43,6.74,81,3,1,5,0,88,39,62,79,68,71,99,68,59,70.89,0
STU0054,Krishna Sekhon,Male,23,Information Technology,90.63,97.71,8.23,64,4,2,5,5,88,93,55,76,74,67,55,85,83,88.09,1
STU0055,Praneel Mody,Female,21,Electronics,92.44,60.95,9.89,93,4,1,4,7,59,80,63,61,53,96,69,61,63,80.02,1
STU0056,Warjas Vasa,Female,23,Computer Engineering,90.27,79.73,9.06,76,2,3,1,0,41,89,47,94,73,71,76,64,78,79.07,1
STU0057,Anay Bobal,Female,22,Civil,68.53,87.01,9.75,71,1,2,4,2,40,61,60,56,97,51,57,55,77,83.3,1
STU0058,Suhani Date,Female,23,Mechanical,90.76,87.0,9.47,91,1,2,1,3,94,92,99,87,69,69,60,62,82,97.17,1
STU0059,Yatan Singh,Female,20,Mechanical,72.37,60.42,5.77,85,0,1,5,3,83,47,66,81,69,96,85,81,68,78.92,1
STU0060,Ishaan Nayak,Male,24,Mechanical,85.76,75.68,8.52,60,4,0,5,8,83,33,42,67,82,40,53,99,96,73.83,0
STU0061,Ojas Chawla,Male,23,Artificial Intelligence,79.52,85.83,6.23,99,5,1,2,7,39,80,62,64,80,96,42,81,90,59.39,0
STU0062,Maanas Bahl,Female,23,Electronics,92.03,76.29,9.81,99,0,0,5,4,37,86,76,48,79,69,61,43,74,86.95,1
STU0063,Gabriel Chakrabarti,Female,20,Artificial Intelligence,95.29,64.52,9.66,97,5,3,2,5,60,68,63,41,63,50,74,51,62,75.35,1
STU0064,Lekha Talwar,Male,24,Civil,70.99,91.49,9.16,97,5,3,4,1,40,64,72,88,51,56,40,89,93,78.82,1
STU0065,Vincent Kannan,Female,21,Information Technology,89.85,97.98,5.72,88,0,0,2,8,90,50,75,47,66,42,83,44,98,77.32,1
STU0066,Vamakshi Narula,Male,24,Mechanical,96.86,77.36,7.44,66,1,3,4,0,84,37,66,67,50,56,44,72,74,84.2,1
STU0067,George Deol,Male,23,Information Technology,73.85,60.29,7.13,70,5,2,4,7,54,99,52,81,99,76,86,73,51,73.47,0
STU0068,Sanaya Chhabra,Female,23,Electronics,77.61,63.03,5.88,69,0,0,4,8,68,51,72,55,54,54,71,53,63,75.27,1
STU0069,Rishi Bhagat,Female,23,Artificial Intelligence,93.42,71.67,8.61,82,0,0,6,8,66,77,47,45,78,49,100,90,56,89.63,1
STU0070,Kabir Keer,Female,21,Mechanical,87.97,69.78,9.18,100,1,2,6,8,44,99,49,49,76,62,94,68,38,96.44,1
STU0071,Dayamai Deol,Female,23,Information Technology,93.6,96.69,9.63,93,5,3,6,2,34,44,82,38,67,44,54,45,81,80.44,1
